label_bullying,text_message
0,yeah I got 2 backups for all that. I just hate when that happen. I been strugglin for a week now...handle that tho
0,I hate using my BB  but love my iPhone. Haven't tried the new BB. My BB is provided by my corp. I don't get to pick which model
0,wow lol sounds like a lot of piss then hehehe
0,not a damn thang..the typical rap beef. one person worrying about what the next is doing and the other respondin etc etc
0,well damn!! where have you been when i have needed you 'Mother Time'
0,watching without a trace too...hate when i miss the 1st 5 minutes when the person disappears!!!!!
0,which they do most of the time:-P I don't hate them either I wanted to be one once..but I figured out I couldn't live w/ myself
0,haha fuck i wish i was there :(
0,paranoid is wack as fuck...the best song on 808s is DEFINITELY Bad News
0,in London  I hate thee :( ENJOY YOURSELVES!!! &lt;33333
0,lollipop lolipop...oh loli loli loli....duh duh dum dum dum *Pop* Damn  im so bad at cheeeering people up &lt;3
0,You pretty sure Angel's ass is fake too huh? I hated that 'I wont answer cuz conroversy is good' shit. That means FAKE.
0,I hear that. I hate charging.
0,That sucks. My furnace started making funny noises the other day and I almost had a panic attack. I don't deal with cold well :)
0,"DAMN STRAIGHT
9na :)"
0,I hate your job too.
0,LOL! I'm not proud of my inability to deal with the cold :( I hate the treadmill too  but not as much as the cold...
0,I hate upping more than downing lol @seanzageek Its pretty awesome  AMD hasn't met release dates let alone beaten them in ages :)
0,Awesome :) I hate updating the BIOS LOL
0,Looks like a good competitor :) Wouldn't touch it personally  hate Symbian and Nokia Software :) My N95 is a bitch lol
0,ok that sucks. Someone needs to remind them about progressive enhancment....
0,Omg that sucks  but it's SO funny
0,lol  i know what you mean. But i kinda am a nerd so yeah  but still
0,I hate that bands have wardrobes.
0,that sucks dude  sorry for your loss
0,okay cool.  I can help you guys this weekend.  Those routers are a bitch to get working some times.
0,i hate when shows take holiday breaks. its killer to my free time.
0,I'm such a pizza freak... Mmm.
0,Oh honey  just hold in your mind the rankest thing a guy has ever done to piss you off  and you'll have bitchy in no time.
0,...okay. Maybe ONE more thing to look at on the interwebs. Damn you.
0,Damn! now I remember that people used to call you Benyl! forgot that little detail  you see
0,pretty much all bus drivers are fat... Besides Flavio.
0,http://twitpic.com/sbrn - we hate you phil. doesnt TV want you yet?
0,Thanks  Yeah shes fine they have her sedated..we hate hospitals so she was being a bit rude. So they knocked he out!
0,hate friendfeed...especially since Scoble endorses it :)
0,damn. oh well. i'll have to go find someone who's trained or something...wait  my WIFE is getting trained. now THAT's an idea!
0,You're going too? Fun.  @JesusNeedsNewPR I hate job hunting
0,damn . . . now I really  REALLY want breakfast food!
0,ughhh that sucks!!!!   How'd you get back from Sterling?
0,I hate it. Horrible stuff.
0,That sucks. Poor baby Andy. Hope he gets better.
0,OMG again eating :P yaar u eat alot but u don't look so fat what is the sceen behind this :S
0,wx in ny sucks! haha lots of snowww and blowing wind!
0,LULZ is gay!
0,Fuck yeah! :P Where've you been ...?
0,I HATE when that happens!
0,What I HATE are white collars on colored shirts.
0,that sucks. Where are you trying to watch it?
0,lol I hate you. And by hate  I mean love  but I still hate you XD
0,my time sucks... having a difficult time MANAGING w/o the structure of college classes but I really want to work w/ you on it
0,Ha! If I were your neighbor  you'd be tweeting about that bitch next door with the loud music. Admit it.
0,Stumped on that one...hate to admit it!
0,Well  well  well...damn that sounds fantastic LOL I'm sorry  what exactly was it that you wanted?
0,ugh that sucks babe
0,damn straight! Happy birthday Maddie!!! Xoxoxo.
0,that is great. I would hate for you to have that big truck come by during the holidays.
0,"I've never found a way so I ""star"" those. I love GMail when I don't hate it."
0,Hate what ?
0,"OMG I LOVE THAT SONG XD

ITS FUCKING HILARIOUS"
0,I hate auntie flow too.  I should be starting soon. :(  I gained weight this week from pms (eating a lot)!
0,How do you do that? I HATE my Blackjack so much I have almost resorted to violence?
0,if the opportunity arises  aye aye. God  I hate kids.
0,yeah hes fucking serious
0,"Being on fire is ""safe""? I'd hate to see what you consider peril!"
0,Sure  name your price. Oh fuck  sorry I'm not THAT pissed
0,fuck...I forgot
0,i hate myspaces people you should know
0,ah damn!
0,the beef stew from that latin place? I fucking loved their coffee i wanna eat there again.
0,AHHHH. Brandy!!!! I LOVE 'HUMAN' like a fat kid loves cake! Thank you for making this album. AHHHHH I love you girl!! OMG!!!!!!
0,Dude. That. Sucks. :(
0,haha thats sucks.. if that happened to me  idk what i would have done.
0,oooo she's gonna go kick your ass now XD
0,I HATE tht
0,whale wars?? sounds epic.
0,can't you wind the flash levels down? I hate flash  I'd rip the things off if I could...
0,LOL!!  It's ok to admit that you got fat  or phat :-P. Hahahahaha jk :-D.
0,"drm sucks.
-a"
0,drm sucks.
0,don't forget ppl sitting around working in a tshirt/boxers lol. J/K  my wife is a neat freak & believe it or not I kind of am too
0,Crying. Literally. You win. I'm destroyed  laughing and crying and I hate and love you all at once.
0,All computers hate you back! Haha...good luck.
0,Big Fat Quiz of The Year 2008 is on C4+1.
0,damn it!
0,Thing I hate the most = Alternate side of the street parking rules.
0,Awww bless  darling  you know you can *always* wear a wig and stilettos. In other news: National Treasure sucks.
0,Weird. I gotta say  I love my pig.
0,There was a SVT tweet-up last night  damn I was down at BJ's in Cupertino till 7ish
0,i hate it when people buy stuff between thanksgiving and christmas!! Cuz then you don't know what to get them!!
0,Oh  heck! I was all ready to pull a Dan Rather and pronounce Dick Cheney dead.
0,In case it's not obvious  the rabbit  glasses and ass are not phone-cam pix.
0,Hate them.  If I'm not pulled in by their previous tweet content I might even unfollow.  Basically still selling to a stranger.
0,Actually I have some problems with the British pronunciation... And yes  my Internet service sucks..
0,those will sell like hot cocks....cakes...hot cakes...damn it!
0,it's the power of having ass loads of money....some people could release an album of static and it'd still go platinum
0,damn  sorry to hear it
0,see previous. Damn twitter.
0,"He's got NO right  but that makes no diff to him. He's just still mad he went from ""cotdamn!!"" to ""oh.....damn."""
0,if u hate shapes  how can you pull shapes?
0,OMG. GREAT list! I can add to TMI Freak. Folo one who shares stories about sex toys. No joke.
0,I hate it so much! :)
0,Would you mind if I blogged about it to? Hate doing that without asking first! #cleanup09
0,IT'S SO FUCKING CUTE
0,i hate it when that happens :)
0,so he isnt gay anymore?
0,are you still at school?! Ha!! Sucks to be you!! I finished two and a half weeks ago.
0,and THAT is why I hate that movie/musical. Despite the awesome music  there's no redemption  and I love redemption.
0,oh and go blue whale watching. forgot to say.
0,I got a gigantic  bad ass pizza cutter.  It's not just for pizza anymore.
0,Me will be snoring in about 10... tired. I woke up at 5  damn it all
0,I work in McCormick Place & hate the commute to nwi. You probably wouldn't even need to rehearse with the repetitive repertoire.
0,I swear I had to really force myself today. hate days like that!
0,It really sucks  most come on due to too much stress. I cannot control them. It has ruined a lot in my life  but keep pushing on!
0,I hate Heidi and Spencer!!!!!!! I want them off the show!!!!!! YUCK!
0,Damn it all... I hate being trendy! LOL!
0,thanks. it's part 2 we got stuck on. The rolling didn't seem to work. I'm a loser :)
0,yeah gymboy  time for you to fuck those weights and do some plyometrics
0,damn that's quite a long code...but  one thing I can tell right now is that STDOUT and tty output streams need not be same
0,u take CNN's word over mine? damn it. already told u that. ;)
0,word? oh damn! didn't expect that response
0,ah damn Sosa not the Bumsquad fam.......Hopefully you didn't drop $600
0,I thought 7lbs represented the weight of the burdeon on his shoulders. By the way the movie was pretty damn good wasn't it?
0,You have waaaaaaaaaaay too much free time! ...but that's damn cool!
0,damn shame right? Specially since there's so much uncut dope out there!
0,hey- finally managed to book the damn tickets online- took me over an hour!!! PVR sucks.
0,damn them! I'll link to another
0,oh DAMN.  I should be SO much more sophisticated  but that IS a cool #song.  OK  except that last bit.  eep.  a little too #MS
0,the new MacBook Pro?I am getting used to the tapping. I hate the way new track pad clicks. Too loud. Too hard to press.
0,if Santa's magic dies  he just becomes a regular old fat guy in a funny looking suit taking a 747 back to the North Pole
0,damn!
0,aww damn!  I think we need to kick him out the league!  LOL
0,also need to know if it is needle free as belenophobic husband would freak.
0,BOTH ARGHH!!!! I'm gonna nap cuz I'm emo right now.
0, Damn him!!  Oh well...worth a try.
0,My friend is gay so it was kinda perfect - he said I could shop all day and then we'd go out. And no putting out! ;)
0,I have family flying in soon. Also I don't fly O'Hare in winter. My new rule. HATE. He's at a nice hotel though. :/
0,"I'm not sick  unless by sick you mean bad ass. In which case I am totally sick. Sick with a ""ph"" yo!"
0,I hate when that happens!
0,I knew it wouldn't freak u out when ur time came!  Capture it if u can.
0,dammit I need to get an iphone. no  damn verizon...
0,no kiddin! I hate wedding planning mania.  probably the reason i got married by a justice of the peace with two witnesses.
0,you're damn right I did
0,I never thought of it that way - but damn - that IS a good name..
0,He was a poodle of some kind. Toy maybe? I remember his name was Jack. So damn cute I wanted to just pick him up and squeeze him!!
0,dude  you must earn  or have a lot of dough to shell out 50usd a day! Damn  that's serious!
0,it's pretty bad ass YO!! and the guys that run it kick ass too
0,"lol...I might...sun isn't up yet.  Busy  multiple projects and people ready to kick ass or ""die tryin"" :)) wErd"
0,niCE that totally kicks ass!!
0,damn skippy trippy :)
0, man! I have an idea that you will LOVE & HATE!!
0,is there a good intro to cucumber+rspec? the wiki sucks.
0, when i was young  i used to hate terry preichet!because i compared him to tolkien... pretty dumb in hindsight!
0,I hate how the corporate world wants americans to shave everyday.
0,It's just so damn cute. even the ghosties that KILL YOU OVER AND OVER AND OVER AND OVER.... *ahem* are cute.
0,Damn  Thats out of reach for me now. Thanks anyway. Ever tried this ? http://camstudio.org
0,Thats cause they are School Girls! GAY!
0,and also jus my lappy is gone so m usin last fm...othrwise who gives a damn...once its bak i'll hav all the songs so bbye last.fm
0,ugh that sucks. Its good she cares but still I'm sure you'd be ok.
0,"Kelidawn me too! I hate putting it away just s much. But i do luv the way it smells when it comes out the dryer!
Ashley"
0,damn you! was there grape? please tell me you've tried grape. its the best!
0,damn I wanna go Ms Baker  too!
0,damn I wanna go see Ms Baker  too!
0,You should had me do that cleaning. Damn.
0,yeah  but are they stealing them from those damned stores that hold the poor things hostage in windows? i hate those stores
0,Damn him!  I had my milk all ready for some dunkin'
0,that sucks.
0,I hate to say it  but  I'm day 14 :( That is the only item both my kids have in common on there Christmas list this year!
0,it's cuz twinkle sucks :)
0,have a safe trip  planes freak me out :(
0,Will Tweetie ever startup/refresh with the last read tweet like Twitterific? I hate scrolling wayyyy down to see tweets i missed
0,Ahh! Damn! Thank you! Is there any way to show them?
0,oooh no be well that sucks - i know :-)
0,to bad i am the god damn WINNAR!
0,ur telling me! Especially out on the back roads in east bum fuck!
0,you are gorgeous as fuck.
0,ouch that sucks.
0,Yeah  do you believe our kids hate steak?  When we have steak  they eat lips and you know whats. LOL
0,Damn girl  these are CUTE! http://tinyurl.com/8d8v8c
0,I think I have the same nasty chest cough. It sucks.
0,know you have the Yahoo T&C story too... damn what are they chasing the few customers they have away now?
0,- thanks for following Austin Girl's @fatbastardrules. Fat Bastard  loves pink stilettos & pink iPhones. Not afraid to  ...
0,- Austin Girl & Fat Bastard are giggling with anticipation over Kitty Kat's Halloween pics!
0,- Austin Girl's Fat Bastard (Beagle) fibs on reading diet & exercise books  really reading 'Guide to the Best Chow in Town.'
0,#NAME?
0,I WANT TO...but i will be in vegas....FUCK lol...i wanna go see the wrestler...its in SB i assume? gimme the details
0,Lucky u! Its summer here in Aus..bloody hate it when it gets over 35c...wanna swap? Ill make a snow man in thy honour! lol
0,well I try my best. SOCIAL media..keep it social damn it!! peace love and happiness leslea =)
0,do you mind that? i hate that term.
0,thanks sweety. Loki just rubbed me in with Ben Gay before he passed out for the night. too.
0,I'm surprised you hate this movie so much - um  what exactly is a good movie for you?
